,PTET,Name,resPNveg,resPN20,resPN80,resPN100,resANveg,resAN20,resAN80,resAN100,resAPveg,resAP20,resAP80,resAP100
11,PTET.51.1.T0240213,PS17,0.0113695154048077,0.0006406863655201,0.114580420097308,0.581481331867066,0.154217612793644,0.999912906309857,0.85088578770457,0.96068549926083,0.18030657963525,0.807266051994428,0.999917231276607,0.999684898165913
12,PTET.51.1.T0710112,PTIWI01,0.996819363750114,0.999524786412843,0.964757085562333,0.585219087326821,0.881355321331734,0.999912906309857,0.978845612693118,0.711119441346455,0.868353179740658,0.999988099174334,0.999917231276607,0.999684898165913
13,PTET.51.1.T0060034,PTIWI06,0.999144446419012,0.0029305984248186,0.053040360775134,2.71418137915454e-29,0.575972126124671,0.0004634819135739,0.116269090332893,3.3111218302126503e-44,0.592536983412987,0.999988099174334,0.999917231276607,0.999684898165913
14,PTET.51.1.T0230191,SPO11,0.976639448063246,0.999524786412843,0.832146855732459,0.205246502705384,0.636470733970603,0.999912906309857,0.902051686092408,0.419002547674159,0.836486237064569,0.999988099174334,0.999917231276607,0.999684898165913
15,PTET.51.1.T0490162,PGM,0.930802171371566,0.999524786412843,0.971120385220372,0.0775853751262946,0.830438161286427,0.999912906309857,0.961262545542413,0.0870498317073138,0.776490032325299,0.999988099174334,0.999917231276607,0.999684898165913
16,PTET.51.1.T0770102,SPT5m,0.995768568937274,0.999524786412843,0.965580428939641,0.436930754582247,0.667204511657829,0.999912906309857,0.98134576044032,0.679532343979047,0.724474668674321,0.999988099174334,0.999917231276607,0.999684898165913
17,PTET.51.1.T0770160,MSH5,0.994163497299633,0.999524786412843,0.974764318494959,0.795906296678497,0.716313798151183,0.999912906309857,0.994457218607543,0.826299299874844,0.783508167906632,0.999988099174334,0.999917231276607,0.999724848328545
18,PTET.51.1.T0110267,PGML1,0.863789876818873,1.65494840723878e-12,0.866324647492329,0.0097071443645307,0.468496991735294,2.61524749254275e-08,0.916437943866072,0.0396864180949662,0.899398783467524,0.999988099174334,0.999917231276607,0.999684898165913
19,PTET.51.1.T0070121,DCL5,0.974490861683315,9.87310296192446e-07,0.122630462115552,0.196726790678049,0.622819306540541,7.35917360220115e-06,0.301879809565768,0.628740260892427,0.839779554357441,0.999988099174334,0.999917231276607,0.999684898165913
20,PTET.51.1.T0620215,PTIWI11,0.987267244531301,0.999524786412843,1.33245564299357e-17,0.0001956105498916,0.958366716534846,0.999912906309857,0.0035449947740916,0.498524128724951,0.940907988776242,0.999988099174334,0.0075018174942691,0.211195703706044
21,PTET.51.1.T1110086,XRCC4,0.978692009014191,0.999524786412843,0.988863276097737,0.973026874039204,0.865233467960128,0.999912906309857,0.960269402420201,0.925964636426562,0.702233674695562,0.999988099174334,0.999917231276607,0.999684898165913
22,PTET.51.1.T0990073,DCL3,0.996422645779253,0.999524786412843,0.998534766199701,0.393107260332807,0.685370746008949,0.999912906309857,0.997121571585687,0.819194314182212,0.725818543457652,0.999988099174334,0.999917231276607,0.999684898165913
23,PTET.51.1.T0180124,ICOP2,0.897819619259411,5.32487321675962e-25,0.969698769690845,0.127607719084967,0.322218900768439,6.03364053369017e-14,0.781230094008415,0.0134006274292645,0.869107834715839,0.999988099174334,0.999917231276607,0.999684898165913
24,PTET.51.1.T0980137,CTIPb,0.967392702217122,0.999524786412843,0.82605107969746,0.880770644452972,0.284288261380477,0.999912906309857,0.792012580872095,0.689205710426098,0.534531998009459,0.999988099174334,0.999917231276607,0.999684898165913
25,PTET.51.1.T0780031,PTCAF1,0.999075646272016,0.999524786412843,0.979069956668914,0.452248572791589,0.671487927322231,0.999912906309857,0.959946414558704,0.67263705392135,0.692238860786782,0.999988099174334,0.999917231276607,0.999684898165913
26,PTET.51.1.T0080308,PGML3b,0.897846540378006,1.10954828259984e-06,0.401976031570048,0.370224600596364,0.986756525334989,0.0076437525274425,0.910989482941933,0.109268551803859,0.515372843991807,0.999988099174334,0.999917231276607,0.999684898165913
27,PTET.51.1.T0660118,PTIWI09,0.996406503413072,0.999524786412843,0.948371403533882,0.577595147957947,0.87180444193235,0.999912906309857,0.982403106082023,0.755640752038601,0.843382876376552,0.999988099174334,0.999917231276607,0.999684898165913
28,PTET.51.1.T0540024,LIG4a,0.936616183487738,0.999524786412843,0.844764977670852,0.804139908457977,0.381653764888135,0.999912906309857,0.995666138361781,0.991529846802182,0.767810744801949,0.999988099174334,0.999917231276607,0.999684898165913
29,PTET.51.1.T0490206,NOWA2,0.986988463186595,0.999524786412843,0.791602732745814,0.31558264106708,0.567980511166441,0.999912906309857,0.960269402420201,0.275341749180521,0.701522306620372,0.999988099174334,0.999917231276607,0.999684898165913
30,PTET.51.1.T0900102,TFIIS4,0.986988463186595,0.999524786412843,0.954356713850538,0.685472793953534,0.54199799452141,0.999912906309857,0.937238649211702,0.4737836007843,0.675531088374751,0.999988099174334,0.999917231276607,0.999684898165913
31,PTET.51.1.T0930160,PO2,0.993310867586447,0.999524786412843,0.827415937890048,0.73509874685403,0.326728795897516,0.999912906309857,0.878201564582965,0.831159833533772,0.427195669536287,0.999988099174334,0.999917231276607,0.999684898165913
32,PTET.51.1.T0020217,PGML3c,0.987071033593785,0.472323023080679,0.0413889267556174,0.264890171684009,0.51195175150679,0.54143357566539,0.472840863224732,0.246048022172841,0.644078109314825,0.999988099174334,0.999917231276607,0.999724848328545
33,PTET.51.1.T0860013,DIE5a,0.976395729114486,1.45161619205029e-14,0.858268310509372,0.0028287254968309,0.96744262061035,4.0192794119366e-08,0.792562152966506,0.0173133671430394,0.858437572895745,0.999988099174334,0.999917231276607,0.999684898165913
34,PTET.51.1.T1180043,PO1,0.954555994160006,0.999524786412843,0.637698842322503,0.406636856626729,0.126135827798462,0.999912906309857,0.464482512643357,0.829651624084045,0.386964565954769,0.999988099174334,0.999917231276607,0.999684898165913
35,PTET.51.1.T0340197,PGML4a,0.958080971577675,2.14743009093719e-10,0.7330829844146,0.0002456484575118,0.804744827197018,3.25976532431143e-08,0.866616109330278,0.0357267312183283,0.923276309828131,0.999988099174334,0.999917231276607,0.999684898165913
36,PTET.51.1.T1460025,KU80a,0.921755288014231,0.999524786412843,0.513527128655167,0.0055915995580219,0.569027216005203,0.999912906309857,0.960812849110179,0.161666754218969,0.218616336788706,0.999988099174334,0.999917231276607,0.999684898165913
37,PTET.51.1.T0140243,ISWI1,0.816140471425145,0.001075410560441,0.745645060852305,0.0148208589820814,0.912596181594361,0.0001070632228665,0.990314522260724,0.0093568373788238,0.342823738915499,0.999988099174334,0.999917231276607,0.999684898165913
38,PTET.51.1.T0430205,CND1,0.953484079032173,4.8270973195845305e-21,0.513595391455917,0.0160817597365853,0.870835775487507,3.9939612933255904e-14,0.943904536025009,0.001168718899507,0.580487237539665,0.999988099174334,0.999917231276607,0.999684898165913
39,PTET.51.1.T0170077,NOWA1,0.987071033593785,0.999524786412843,0.856838208452144,0.323385037983257,0.600112234894026,0.999912906309857,0.96246798988582,0.312770375007383,0.721209369322501,0.999988099174334,0.999917231276607,0.999724848328545
40,PTET.51.1.T0360062,DCL1,0.986988463186595,0.999524786412843,0.23277173868889,0.540674721969305,0.462207719744192,0.872788274151616,0.735215699139769,0.892300275686543,0.37896171520721,0.999988099174334,0.999917231276607,0.999684898165913
41,PTET.51.1.T0950081,DIE5b,0.632150055639497,9.796427537327711e-15,0.894893160083591,0.0294682445889871,0.709436626511054,3.5646461394927e-05,0.882352288127605,0.0190611060863347,0.0525772167595376,0.563498113210416,0.999917231276607,0.999684898165913
42,PTET.51.1.T1710021,MSH4b,0.996449148686576,0.999524786412843,0.650258776717722,0.495750606742858,0.489380095324804,0.999912906309857,0.926446135258361,0.773060357113416,0.535261446036183,0.999988099174334,0.999917231276607,0.999684898165913
43,PTET.51.1.T0050374,ND7,1.65409825033438e-13,3.42590176091108e-20,3.2516546085325902e-24,1.69420001198333e-46,2.89254272965308e-11,1.62418125838308e-16,2.8532540055851797e-18,7.17652040421394e-51,0.689466404039875,0.999988099174334,0.999917231276607,0.999684898165913
44,PTET.51.1.T0570051,PGML5a,0.950173776965155,6.8941060504167e-09,0.927665681183808,0.005958235071114,0.569527309506081,4.4842759055031e-06,0.926446135258361,0.0219179852334189,0.903565686316993,0.999988099174334,0.999917231276607,0.999684898165913
45,PTET.51.1.T0210241,DCL2,0.996505347809174,0.999524786412843,0.980211139274466,0.659511208928528,0.625092307828586,0.999912906309857,0.986754684101643,0.984538271651535,0.608902562807806,0.999988099174334,0.999917231276607,0.999684898165913
46,PTET.51.1.T0010374,PGML3a,0.949066502523815,1.46506232118264e-12,0.0996404994687675,0.0676068710091237,0.665664847146852,4.11838957963441e-08,0.949358838279487,0.017785694444709,0.994769671009558,0.999988099174334,0.999917231276607,0.999684898165913
47,PTET.51.1.T1280115,DCL4,0.987028758983086,0.967169284175726,0.933714488959098,0.352440388837829,0.445270313433627,0.999912906309857,0.926672072453252,0.826016668712231,0.370455203310631,0.999988099174334,0.999917231276607,0.999684898165913
48,PTET.51.1.T0110289,PDSG2,0.852643682798263,1.93388716250028e-13,0.68177879328942,0.0382973238050789,0.318049142030124,1.53506333206291e-12,0.964275217339365,0.107001563860847,0.992535131276821,0.999988099174334,0.999917231276607,0.999684898165913
49,PTET.51.1.T0620188,AS17,0.982670002428672,0.643614995147543,0.0461406683945349,0.663442415425822,0.810423499611978,2.35882498700355e-07,4.51018954255027e-08,0.0005537565291045,0.971355837784677,0.224781482401374,0.999917231276607,0.475141554175454
50,PTET.51.1.T0650078,CTIPa,0.977313342056216,0.999524786412843,0.817950184298162,0.8713794728348,0.616000713397096,0.999912906309857,0.774905506715121,0.821875239410495,0.805997433143845,0.999988099174334,0.999917231276607,0.999684898165913
