,PTET,Name,resPNveg,resPN20,resPN80,resPN100,resANveg,resAN20,resAN80,resAN100,resAPveg,resAP20,resAP80,resAP100
19,PTET.51.1.T0070121,DCL5,-0.22824695346678,-2.49591702140662,-1.15473969702498,0.819268320143519,-0.428813435137286,-2.37286280820093,-1.08690911341749,0.404573479710332,-0.200566991457916,0.123054054567185,0.0678308196964943,-0.414694227106398
20,PTET.51.1.T0620215,PTIWI11,-0.152410953697143,-0.721684128154075,-5.31898113472641,-2.60635909920861,-0.062104651311248,-0.177818716426145,-2.44776454043206,-0.730120734017363,0.0903081418224067,0.543865329096487,2.87121555650786,1.87623882235918
21,PTET.51.1.T1110086,XRCC4,0.173246544087506,0.366234606693783,0.0268149396793596,0.0380448661944681,-0.138821010973975,0.102295328388083,0.134903930793966,-0.103898488843576,-0.312066344943114,-0.263939313806399,0.108088794666635,-0.141943563574437
22,PTET.51.1.T0990073,DCL3,-0.070958335506847,-0.30705012242803,0.0073979428418224,1.30621989888018,-0.673513871361066,0.0945290568272811,0.01950619143467,0.486911257500009,-0.602549584478361,0.401578355998284,0.0121070395598027,-0.819309563936874
23,PTET.51.1.T0180124,ICOP2,-0.476846439017983,-3.649111040829,-0.04826929353209,0.716843926725246,-0.611235311489522,-2.69913573029027,0.436792582661831,0.924718461710966,-0.134389199040642,0.949975145852391,0.485062110121446,0.20787483832936
24,PTET.51.1.T0980137,CTIPb,-0.268576983441626,-0.243536821482509,-0.35706986802849,-0.174545422872171,-0.814310634275745,-0.513417206199863,-0.675252361140988,-0.424184462959142,-0.545732038561698,-0.269880475749052,-0.318182757290557,-0.249639442927144
25,PTET.51.1.T0780031,PTCAF1,-0.0173081398081735,-0.217356025486894,0.0809169766558428,0.938308829593277,-0.562011828133195,0.0084005515087139,0.227878688138574,0.650651603576609,-0.544699411439239,0.225756098804431,0.146960967749955,-0.287658022083701
26,PTET.51.1.T0080308,PGML3b,1.10911975293067,-3.96048442472577,-1.10348581709949,0.833448922890938,0.033788550148072,-2.45104331245911,-0.397965250541957,1.26155858384937,-1.07532833613147,1.5094392782675,0.705520834336025,0.428110691233458
27,PTET.51.1.T0660118,PTIWI09,0.114060893656903,-0.0074580405998066,0.298829485076406,1.26072518817832,-0.383791180820508,-0.333100289330494,0.180492806500022,0.8466073333843,-0.497836156987058,-0.325643368250199,-0.118338910217774,-0.414120057985569
28,PTET.51.1.T0540024,LIG4a,-0.365095562149923,0.104696341088024,-0.278378201936145,-0.22574238271159,-0.60465649328302,-0.197021374428303,-0.0140332679726963,-0.0137386145985136,-0.239559819453973,-0.301717695476466,0.264344737325611,0.212003521756361
29,PTET.51.1.T0490206,NOWA2,-0.175932112472116,-0.203241592126616,-0.515196675033693,0.993464500893176,-0.619484155771922,-0.339771652190626,-0.188109399442935,1.07418507580395,-0.443549245029123,-0.136530196369189,0.327086971460129,0.0807206224885315
30,PTET.51.1.T0900102,TFIIS4,-0.170339409754417,-0.489281840033122,-0.129290176377689,0.470132308152529,-0.640935182727467,-0.5845548244447,0.289837734359898,0.791711278162938,-0.47059397623237,-0.095273148719934,0.4191277994965,0.321579058655083
31,PTET.51.1.T0930160,PO2,-0.051428894045466,0.0854971159511092,-0.207255870797791,-0.197542524119823,-0.438565622799383,0.165450619712209,-0.264141761712715,-0.143347530059979,-0.387136195111788,0.0799534703804709,-0.0568859774271042,0.0541948788767981
32,PTET.51.1.T0020217,PGML3c,0.125227656311362,-1.04210028065656,-1.30126074658774,0.679688243473066,0.530070634658049,-1.06804884246613,-0.87468700373639,0.699942623321028,0.404842666730545,-0.0259485936930712,0.42657381768993,0.0202547948434933
33,PTET.51.1.T0860013,DIE5a,-0.247508466917153,-4.345096761607,0.302312852475013,1.93506610573908,-0.0456187314990333,-3.2711263989733,0.684462109120825,1.44573427579483,0.201888320023726,1.07396987098524,0.382150088645591,-0.489330568964113
34,PTET.51.1.T1180043,PO1,-0.125465408064284,-0.0955464583781346,-0.254689671187306,-0.267385970303069,-0.395914565960513,-0.110268322208029,-0.440280089727595,-0.0958992295647065,-0.270448957308402,-0.0147218737474993,-0.185590446272419,0.171486697189223
35,PTET.51.1.T0340197,PGML4a,-0.309026157628089,-3.0873248316291,0.442681396635295,1.91577276311885,-0.213577899477946,-2.80155555599376,0.425544754919714,1.1336239854118,0.095447210988376,0.285769136258178,-0.0171360745056253,-0.782147950895922
36,PTET.51.1.T1460025,KU80a,-0.183984165305052,-0.152320420913465,-0.298331204817573,-0.663044098035361,0.180705958741675,-0.193013827251149,0.0533251830723765,-0.371705208028491,0.364690243348975,-0.0406933945216134,0.351656388062265,0.291338878731158
37,PTET.51.1.T0140243,ISWI1,-0.723162350352277,-1.69079580381046,-0.386160997824868,1.26878501750926,-0.083372657799939,-1.90663510696308,-0.0318344156042617,1.17695520640528,0.63978894355759,-0.215839111152499,0.35432695303461,-0.0918292478382855
38,PTET.51.1.T0430205,CND1,0.319176274125672,-4.31419669181205,-0.687323240422188,1.35465590301816,-0.139652090168486,-3.55519871115275,-0.182749108092628,1.4720075601829,-0.458828116934528,0.758997488657181,0.504574369971726,0.117352223936403
39,PTET.51.1.T0170077,NOWA1,-0.17363748949549,-0.005568881277896,-0.396729050483983,1.04922857936279,-0.615939154943042,-0.250132326841811,-0.185987986313794,1.09350040008817,-0.44229856499286,-0.244563514498038,0.210740748997327,0.0442718524427891
40,PTET.51.1.T0360062,DCL1,-0.0943199083075893,0.234100491821825,-0.877750230234056,-0.39045996680857,0.382751643813011,0.703535977540436,-0.549069405708808,-0.118861956460429,0.477071887034958,0.469435486833987,0.328680716666781,0.271597948553285
41,PTET.51.1.T0950081,DIE5b,-3.00911979146467,-5.38470364954828,-0.264983401668828,1.7421398803259,0.55346300399116,-3.04704942999347,0.514129295722115,1.63917051437855,3.56253029042863,2.33765509079379,0.779115422818314,-0.102965935330117
42,PTET.51.1.T1710021,MSH4b,-0.0342916352569498,0.104002209604758,0.680028136161825,0.628534723986561,-0.6179103689901,-0.0938310396255776,0.30024270401534,0.337246057753601,-0.583617232777361,-0.197833360710147,-0.379785577147646,-0.291288977100831
43,PTET.51.1.T0050374,ND7,1.7090157486841,2.09049872767678,2.32541139058386,3.029659263118,1.56528123718582,1.93763320367051,2.04981845118863,2.78187601140882,-0.143734405093924,-0.152865515464065,-0.275592921846851,-0.247783234038313
44,PTET.51.1.T0570051,PGML5a,-0.357480113658449,-3.08067641077803,-0.153184483437707,1.67996791243005,-0.476778346035155,-2.60489015981278,0.262429625262114,1.30734570087116,-0.119298514898558,0.475786011581868,0.41561454799294,-0.372621413738841
45,PTET.51.1.T0210241,DCL2,0.0436044349541834,-0.281818760670716,0.0735003326144787,0.595336461950081,-0.611341135595339,0.274452317301151,0.0768438509946201,0.0431033640042569,-0.654941745564285,0.556270522151701,0.0033427530528055,-0.552233901306572
46,PTET.51.1.T0010374,PGML3a,-0.350604670974802,-3.37568843824505,-1.23233449031597,1.11515476489521,-0.357206700501516,-2.75359584462239,-0.168196415536374,1.21065322931105,-0.0066023781678172,0.622092353814366,1.06413830623169,0.0954991497524078
47,PTET.51.1.T1280115,DCL4,-0.0559630430705219,0.31269385615598,-0.057023276057528,-0.271444572463615,0.246946955824052,0.315377751783069,0.103667396775316,-0.0888039055152745,0.302910069612797,0.0026839119613189,0.160690681513289,0.182640674929098
48,PTET.51.1.T0110289,PDSG2,-0.969748417423809,-4.21393017362044,-0.605664376920926,1.47860306932342,-0.95671650069872,-4.13179875097759,0.13621202547353,1.13963808392908,0.0130295405832649,0.0821312551705941,0.741877110179662,-0.338963819420133
49,PTET.51.1.T0620188,AS17,-0.158032464807688,-0.920839310544093,-1.38340114936749,-0.351728487026432,-0.192088365953841,-2.60892577388007,-2.74143691952267,-1.56698924797893,-0.0340557931560611,-1.68808629596852,-1.35803564805818,-1.21526046610182
50,PTET.51.1.T0650078,CTIPa,-0.193032357337963,0.249219848519682,-0.358882386834515,-0.180420231880552,-0.417227188656409,-0.238195839628059,-0.688235135177554,-0.249797216718535,-0.22419372351745,-0.487415673082518,-0.329352948536648,-0.0693772773799168
